# phrase	weight
# 保守词频层：同码词之间按权重排序；自定义表仍然优先于这里。
# 权重建议控制在 1-999999，越大越靠前。
什么	990000
我们	980000
他们	970000
怎么	960000
这个	950000
那个	940000
现在	930000
默认	920000
问题	910000
因为	900000
所以	895000
但是	890000
清晰	880000
密码	870000
需要	860000
应该	850000
可能	840000
说明	835000
如果	830000
就是	820000
没有	810000
还有	800000
不是	790000
可以	780000
时间	770000
时候	760000
知道	750000
觉得	740000
工作	730000
这些	720000
那些	710000
这样	700000
那样	690000
一下	680000
为什么	670000
怎么样	660000
怎么办	650000
有没有	640000
是不是	630000
不知道	620000
行不行	610000
执行	600000
重置	590000
术语	580000
辅码	570000
回退	560000
冼村	550000
阴间	540000
引荐	530000
福瑞	520000
